Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),cuisine
68220,Indian Subcontinent,Indian,Asian,2.8721,727.4268,104.6578,30.3677,Indian Subcontinent
68221,Indian Subcontinent,Indian,Asian,30.6275,126.9075,0.7206,0.5595,Indian Subcontinent
68222,Indian Subcontinent,Indian,Asian,24.3602,110.6308,4.8872,1.1982,Indian Subcontinent
68223,Indian Subcontinent,Indian,Asian,92.9262,607.9139,10.7709,27.2776,Indian Subcontinent
68224,Indian Subcontinent,Indian,Asian,14.6739,882.8073,104.7518,44.4599,Indian Subcontinent
68225,Indian Subcontinent,Indian,Asian,10.6254,46.3464,1.4040,0.4498,Indian Subcontinent
68226,Indian Subcontinent,Indian,Asian,555.6269,2977.3600,13.6695,82.6376,Indian Subcontinent
68227,Indian Subcontinent,Indian,Asian,4.5908,18.3540,0.0000,0.0000,Indian Subcontinent
68229,Indian Subcontinent,Indian,Asian,380.4681,1880.6650,22.2516,29.6735,Indian Subcontinent
68230,Indian Subcontinent,Indian,Asian,95.6562,1078.8639,88.2887,41.1456,Indian Subcontinent
68231,Indian Subcontinent,Indian,Asian,70.5755,401.3225,4.4546,15.4127,Indian Subcontinent
68232,Indian Subcontinent,Indian,Asian,26.8827,370.0700,4.7253,29.3941,Indian Subcontinent
68233,Indian Subcontinent,Indian,Asian,696.5056,15003.0908,469.2446,1260.1397,Indian Subcontinent
68234,Indian Subcontinent,Indian,Asian,52.0681,2626.7106,246.2733,158.9333,Indian Subcontinent
68235,Indian Subcontinent,Indian,Asian,10.0202,1797.2435,364.8947,24.0077,Indian Subcontinent
68236,Indian Subcontinent,Indian,Asian,105.7817,485.7920,17.3195,4.3866,Indian Subcontinent
68237,Indian Subcontinent,Indian,Asian,176.1690,1785.1444,58.4787,101.1911,Indian Subcontinent
68238,Indian Subcontinent,Indian,Asian,6.2566,1090.0120,5.9563,117.2156,Indian Subcontinent
68239,Indian Subcontinent,Indian,Asian,28.4096,243.2225,3.4366,14.5946,Indian Subcontinent
68240,Indian Subcontinent,Indian,Asian,25391.8228,115963.0563,1895.2507,450.9291,Indian Subcontinent
68241,Indian Subcontinent,Indian,Asian,83.6268,584.1240,5.4540,29.8620,Indian Subcontinent
68242,Indian Subcontinent,Indian,Asian,33.2628,142.8808,3.4116,0.5442,Indian Subcontinent
68243,Indian Subcontinent,Indian,Asian,25.6346,123.7550,5.7290,0.4627,Indian Subcontinent
68244,Indian Subcontinent,Indian,Asian,29.3877,195.8820,3.8508,3.9972,Indian Subcontinent
68245,Indian Subcontinent,Indian,Asian,33.2694,472.8840,17.8964,31.3218,Indian Subcontinent
68246,Indian Subcontinent,Indian,Asian,58.0677,1518.1838,55.0704,130.0107,Indian Subcontinent
68247,Indian Subcontinent,Indian,Asian,136.4644,1323.1168,63.7774,74.8231,Indian Subcontinent
68248,Indian Subcontinent,Indian,Asian,157.9237,2063.8980,76.7928,131.9480,Indian Subcontinent
68249,Indian Subcontinent,Indian,Asian,13.1262,69.2080,2.9792,1.5299,Indian Subcontinent
68250,Indian Subcontinent,Indian,Asian,169.2083,665.3025,1.1138,0.8494,Indian Subcontinent
68251,Indian Subcontinent,Indian,Asian,77.9086,517.3521,55.4366,3.6500,Indian Subcontinent
68252,Indian Subcontinent,Indian,Asian,1.6472,8.6415,0.1575,0.4727,Indian Subcontinent
68253,Indian Subcontinent,Indian,Asian,262.5391,3701.9048,243.4163,189.4131,Indian Subcontinent
68254,Indian Subcontinent,Indian,Asian,58.4615,760.7800,66.6041,34.8487,Indian Subcontinent
68255,Indian Subcontinent,Indian,Asian,4.9608,34.5660,1.9024,1.5077,Indian Subcontinent
68256,Indian Subcontinent,Indian,Asian,16.1765,126.1232,0.8188,4.6579,Indian Subcontinent
68257,Indian Subcontinent,Indian,Asian,158.0207,831.8700,15.9994,15.1775,Indian Subcontinent
68258,Indian Subcontinent,Indian,Asian,104.0159,806.3655,14.7472,41.0945,Indian Subcontinent
68259,Indian Subcontinent,Indian,Asian,27.4090,119.8099,4.4018,0.7212,Indian Subcontinent
68260,Indian Subcontinent,Indian,Asian,47455.1806,284553.0947,15393.7668,4541.4903,Indian Subcontinent
68261,Indian Subcontinent,Indian,Asian,22.9141,116.7580,4.4748,3.2226,Indian Subcontinent
68262,Indian Subcontinent,Indian,Asian,172.5308,1122.2050,62.9185,42.6331,Indian Subcontinent
68263,Indian Subcontinent,Indian,Asian,30.2938,1123.5200,11.4950,115.1011,Indian Subcontinent
68264,Indian Subcontinent,Indian,Asian,28701.5974,118447.2720,635.1696,511.1379,Indian Subcontinent
68265,Indian Subcontinent,Indian,Asian,47.1389,510.2688,27.7678,24.7525,Indian Subcontinent
68266,Indian Subcontinent,Indian,Asian,191.7267,1101.2020,57.7669,16.6460,Indian Subcontinent
68267,Indian Subcontinent,Indian,Asian,74.7937,707.5550,32.4998,33.1425,Indian Subcontinent
68268,Indian Subcontinent,Indian,Asian,53.3479,1305.2698,116.6224,72.4991,Indian Subcontinent
68269,Indian Subcontinent,Indian,Asian,213.7418,1282.1775,21.7325,37.7950,Indian Subcontinent
68270,Indian Subcontinent,Indian,Asian,215.6328,1403.2006,10.2130,55.7434,Indian Subcontinent
68271,Indian Subcontinent,Indian,Asian,74.2994,459.9820,21.5805,11.5337,Indian Subcontinent
68272,Indian Subcontinent,Indian,Asian,44.6788,448.6894,15.9261,28.7886,Indian Subcontinent
68273,Indian Subcontinent,Indian,Asian,67.0365,828.6031,31.1271,56.7247,Indian Subcontinent
